Sl. No.,Date,Price
1,Oct-04,6321
2,Nov-04,6550
3,Dec-04,6344
4,Jan-05,6117
5,Feb-05,6252
6,Mar-05,6102
7,Apr-05,6241
8,May-05,5961
9,Jun-05,6237
10,Jul-05,6012
11,Aug-05,6318
12,Sep-05,6764
13,Oct-05,7000
14,Nov-05,7436
15,Dec-05,7508
16,Jan-06,8308
17,Feb-06,8041
18,Mar-06,8324
19,Apr-06,9428
20,May-06,9571
21,Jun-06,9174
22,Jul-06,9543
23,Aug-06,9399
24,Sep-06,8887
25,Oct-06,8780
26,Nov-06,9271
27,Dec-06,9149
28,Jan-07,9234
29,Feb-07,9597
30,Mar-07,9336
31,Apr-07,9069
32,May-07,8669
33,Jun-07,8588
34,Jul-07,8700
35,Aug-07,8945
36,Sep-07,9527
37,Oct-07,10083
38,Nov-07,10069
39,Dec-07,10620
40,Jan-08,11795
41,Feb-08,12519
42,Mar-08,12016
43,Apr-08,11375
44,May-08,12204
45,Jun-08,12783
46,Jul-08,12601
47,Aug-08,11900
48,Sep-08,13181
49,Oct-08,11730
50,Nov-08,13111
51,Dec-08,13884
52,Jan-09,14413
53,Feb-09,15594
54,Mar-09,15016
55,Apr-09,14499
56,May-09,14901
57,Jun-09,14400
58,Jul-09,14814
59,Aug-09,15135
60,Sep-09,15627
61,Oct-09,15931
62,Nov-09,17732
63,Dec-09,16542
64,Jan-10,16184
65,Feb-10,16767
66,Mar-10,16232
67,Apr-10,17034
68,May-10,18418
69,Jun-10,18731
70,Jul-10,17767
71,Aug-10,19084
72,Sep-10,19006
73,Oct-10,19569
74,Nov-10,20531
75,Dec-10,20555
76,Jan-11,19931
77,Feb-11,20682
78,Mar-11,20697
79,Apr-11,22703
80,May-11,22454
81,Jun-11,21779
82,Jul-11,23211
83,Aug-11,27120
84,Sep-11,26025
85,Oct-11,27180
86,Nov-11,29118
87,Dec-11,27106
88,Jan-12,28078
89,Feb-12,27733
90,Mar-12,28040
91,Apr-12,29063
92,May-12,29250
93,Jun-12,29513
94,Jul-12,29777
95,Aug-12,31115
96,Sep-12,31229
97,Oct-12,30856
98,Nov-12,31120
99,Dec-12,30582
100,Jan-13,29909
101,Feb-13,29328
102,Mar-13,29382
103,Apr-13,26994
104,May-13,26908
105,Jun-13,25714
106,Jul-13,28341
107,Aug-13,33431
108,Sep-13,31141
109,Oct-13,31221
110,Nov-13,30197
111,Dec-13,29469
112,Jan-14,29482
113,Feb-14,30634
114,Mar-14,28470
115,Apr-14,31014
116,May-14,27151
117,Jun-14,28076
118,Jul-14,27788
119,Aug-14,27794
120,Sep-14,26805
121,Oct-14,25924
122,Nov-14,25853
123,Dec-14,26594
124,Jan-15,27911
125,Feb-15,26473
126,Mar-15,26061
127,Apr-15,26593
128,May-15,26866
129,Jun-15,26301
130,Jul-15,24789
131,Aug-15,26540
132,Sep-15,25803
133,Oct-15,26355
134,Nov-15,25114
135,Dec-15,24952
136,Jan-16,26709
137,Feb-16,29437
138,Mar-16,28441
139,Apr-16,30138
140,May-16,28610
141,Jun-16,30851
142,Jul-16,31099
143,Aug-16,30746
144,Sep-16,30814
145,Oct-16,30057
146,Nov-16,28428
147,Dec-16,27700
148,Jan-17,29172
149,Feb-17,29592
150,Mar-17,28612
151,Apr-17,28872
152,May-17,28905
153,Jun-17,28295
154,Jul-17,28588
155,Aug-17,29756
156,Sep-17,29549
157,Oct-17,29040
158,Nov-17,28992
159,Dec-17,29372
160,Jan-18,30064
161,Feb-18,30423
162,Mar-18,30426
163,Apr-18,30947
164,May-18,30882
165,Jun-18,30363
166,Jul-18,29638
167,Aug-18,30116
168,Sep-18,30479
169,Oct-18,31631
170,Nov-18,30186
171,Dec-18,31489
172,Jan-19,33100
173,Feb-19,32902
174,Mar-19,31703
175,Apr-19,31625
176,May-19,32131
177,Jun-19,33947
178,Jul-19,34714
179,Aug-19,38300
180,Sep-19,36873
181,Oct-19,38842
182,Nov-19,37961
183,Dec-19,38999
184,Jan-20,41012
185,Feb-20,41763
186,Mar-20,43225
187,Apr-20,44647
188,May-20,46858
189,Jun-20,48861
190,Jul-20,53582
191,Aug-20,51099
192,Sep-20,50232
193,Oct-20,50641
194,Nov-20,47898
195,Dec-20,50081
196,Jan-21,49111
197,Feb-21,45569
198,Mar-21,44418
199,Apr-21,46431
200,May-21,48807
201,Jun-21,46817
202,Jul-21,47901
203,Aug-21,47060
204,Sep-21,46221
205,Oct-21,47502
206,Nov-21,47439
207,Dec-21,47994
208,Jan-22,47840
209,Feb-22,50530
210,Mar-22,51633
211,Apr-22,51809
212,May-22,50924
213,Jun-22,50719
214,Jul-22,51365
215,Aug-22,50520
216,Sep-22,50029
217,Oct-22,50070
218,Nov-22,52434
219,Dec-22,54779
220,Jan-23,56864
221,Feb-23,55714
222,Mar-23,59314
223,Apr-23,60057
224,May-23,60252
225,Jun-23,58020
226,Jul-23,59628
227,Aug-23,59113
228,Sep-23,57061
229,Oct-23,61077
230,Nov-23,62639
231,Dec-23,62657
